aconto	adresse	boligtype	delevenlig	depositum	etage	forudbetalt_leje	husdyr_tilladt	indflytningspris	lejeperiode	mŒnedlig_leje	m¿bleret	oprettelsesdato	overtagelsesdato	st¿rrelse	v¾relser	longitude	latitude
700	Indelukket, 9800 Hj¿rring 	Lejlighed	Nej	20400	1. sal	0	Nej	27900	Ubegr¾nset	6800	Nej	10/09/2018	ikke snarest	102	3	9,9962204	57,449011
800	Ryesgade, 8000 Aarhus C 	Lejlighed	Ja	29985	2. sal	29985	Nej	70765	Ubegr¾nset	9995	Nej	06/08/2018	snarest	79	2	10,2050586	56,1522418
750	Dalgasgade, 9000 Aalborg 	Lejlighed	Nej	17985	3. sal	5995	Nej	30725	Ubegr¾nset	5995	Nej	10/10/2018	snarest	60	2	9,9133271	57,0494602
800	BrendstrupgŒrdsvej, 8200 Aarhus N 	Lejlighed	Nej	24414	1. sal	8138	Nej	41490	Ubegr¾nset	8138	Nej	27/10/2018	snarest	60	2	10,1773316	56,1893481
1300	S¿ndergade, 8000 Aarhus C 	Lejlighed	Ja	53700	3. sal	17900	Nej	90800	Ubegr¾nset	17900	Nej	30/10/2018	snarest	151	4	10,1926254	56,1591575
1000	Holl¾ndervej, 6000 Kolding 	Lejlighed	Ja	20850	1. sal	13900	Nej	42700	Ubegr¾nset	6950	Nej	05/09/2018	snarest	80	3	9,4769241	55,4851796
500	¯sterled, 5000 Odense C 	Lejlighed	Nej	18540	2. sal	12360	Nej	37630	Ubegr¾nset	6230	Nej	08/08/2018	snarest	57	2	10,407954	55,3941907
1550	Smallegade, 2000 Frederiksberg 	Lejlighed	Nej	58500	4. sal	19500	Nej	99050	Ubegr¾nset	19500	Nej	16/07/2018	ikke snarest	144	3	12,5244316	55,6794694
700	Robert Jacobsens Vej, 2300 K¿benhavn S 	Lejlighed	Nej	36147	4. sal	12049	Nej	60945	Ubegr¾nset	12049	Nej	27/10/2018	snarest	63	2	12,5745679	55,6230139
200	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	28575	2. sal	9525	Nej	47825	Ubegr¾nset	9525	Nej	12/06/2018	snarest	86	3	10,2353323	56,203707
1564	Hedelunden, 2670 Greve	Lejlighed	Ja	47850	-	47850	Ja	113214	Ubegr¾nset	15950	Nej	01/11/2018	ikke snarest	116	4	12,3322606	55,605451
	Slyngborggade, 8900 Randers C 	Lejlighed	Nej	17250	stuen	5750	Nej	28750	Ubegr¾nset	5750	Nej	16/07/2018	snarest	64	3	10,0304516	56,4626655
200	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	32685	stuen	10895	Nej	54675	Ubegr¾nset	10895	Nej	12/06/2018	snarest	80	4	10,2353323	56,203707
700	Christiansgade, 9000 Aalborg 	Lejlighed	Nej	17250	1. sal	5750	Nej	29450	Ubegr¾nset	5750	Nej	11/10/2018	snarest	71	2	9,9202815	57,0440713
